uid;name;nodes;ways;relations
"2769224";"old wolf";"3571440";"631841";"140"
"667422";"Alex-7";"3026844";"246477";"2204"
"3850484";"VARVAR8";"2139376";"305868";"4215"
"1872841";"1gorok";"1864390";"211929";"7521"
"2481418";"Mr_67";"1857677";"129062";"2292"
"423716";"Сергій Дубик";"1638746";"148224";"1730"
"118927";"DSem";"1453323";"201595";"11433"
"188947";"D_i_m";"1285310";"182882";"268"
"3442717";"UPegasus";"1256685";"123167";"10713"
"2021722";"darkonus";"1212221";"101647";"441"
"204049";"olehz";"1189444";"123388";"1850"
"1156433";"vovan__l";"1089690";"85398";"3777"
"94578";"andygol";"1045053";"109012";"5043"
"373695";"algot";"1028006";"87335";"514"
"2471547";"mike140";"918991";"105096";"11380"
"507964";"maplab";"761717";"143907";"10"
"3249611";"Вальдимар";"719013";"79698";"534"
"3758092";"stbg";"702992";"72363";"9"
"2909092";"Andriy B";"641493";"77749";"8095"
"2193533";"uname";"591167";"65627";"294"
"2309226";"M_Solodzhuk";"584790";"74154";"292"
"112151";"velmyshanovnyi";"579518";"5825";"135"
"11276240";"sandroz";"567889";"86800";"2025"
"914526";"victhorvik";"553452";"117509";"98"
"370549";"Dyoma";"537880";"79482";"179"
"1825090";"Ars-UA";"524564";"92224";"1219"
"9828679";"Bagdasan";"501926";"88885";"20481"
"372568";"vinn";"487049";"26478";"102"
"236651";"Sanjak";"486294";"43654";"1204"
"5092132";"Nikolaїch";"481449";"18296";"388"
"1271999";"Mies vailla menneisyyttä";"480639";"12714";"431"
"1735178";"Evhenio";"472249";"16357";"1"
"1010630";"AndrewBorowski";"428145";"53530";"2937"
"10791758";"chlenix";"422367";"59924";"873"
"348674";"Cabeleira";"410979";"15435";"2282"
"719573";"dimonster";"410375";"50664";"131"
"614988";"alex___";"395378";"12472";"45"
"7753461";"User1 - Lightcyphers";"389733";"51722";"504"
"7753484";"User4 - Lightcyphers";"387606";"43082";"310"
"883031";"Згарбул Андрей";"387212";"24737";"459"
"3255141";"A-lex-W";"383134";"32046";"80"
"609342";"z-yurets";"377414";"58729";"401"
"4205472";"Vel2Os";"370501";"28323";"227"
"2517121";"i5IoXTZhmQ61ragH";"370401";"62200";"271"
"9343504";"Мой Батя";"353996";"12030";"59"
"1676637";"Kilkenni";"349754";"52599";"961"
"6617477";"deindsin";"342478";"35108";"69"
"351993";"sergeybe";"342417";"40973";"549"
